"measure_category","measure_id","measure_name","description","quantified_objectives","type_of_policy_or_measure","budget","stakeholders","state_of_play","implementation_period"
"Decarbonising heat and strengthening local planning","M11","Measure 11 - Put in place a strategy for phasing out fossil fuels in the building sector by 2040","Achieving climate neutrality by 2050 requires setting a course now: the typical
lifetime of a fossil boiler is approximately 15 years; any installation put into
operation after 2035 is likely to be still in operation in 2050, which contradicts
the carbon neutrality trajectory. Without a clear direction, technical and
economic locks are created (reverse investments, stranded assets, oversizing of
networks) and the transition is unnecessarily slowed down. This measure
therefore establishes a strategy of gradual and territorialized exit from fossil
fuels, with a reviewable phasing and gradual obligations.
Wallonia will thus organize a gradual and territorial shift from fossil fuels to
non-fossil solutions (individual/collective heat pumps, low/medium
temperature decarbonized heat networks, solar thermal, surface geothermal,
waste heat). The preparation of local heating and cooling plans (LCCPs) is the
prerequisite: these plans zone territories (priority heat networks, electrification,
transitional hybrids), sequence investments and provide thetechno-economic
basis for setting appropriate switching deadlines.
In heat network hotspots, success depends on the ability to reserve a minimum
heat demand upstream before the investment decision. This pre-contractual
commitment makes it possible to reassure operators and investors by securing
the revenue base and reducing the risk of underutilization of the facilities. Here,
public buildings play a key role in anchoring: their consumption profiles, their
long-term presence and their ability to commit to multi-annual horizons make
it possible to reach this start-up threshold quickly. Once the basis of the reliable
heating network, the extension to consumers of smaller sizes (private land,
condominiums, collective or individual housing, SMEs) becomes simpler,
faster and less risky.
Finally, the measure is linked to the proactive communication planned at local
level: maps by neighbourhood, technology orientation simulator, clear
messages on obligations and aid pathways. The aim is to align individual
decisions and collective investments with the zoning defined in the PLCFs, to
minimise the cost of the overall system and to avoid technical and economic
impasses.","- Planning defined in 2030 on the basis of the complete exit vision of
fossil boilers by 2040 at the latest, and broken down by zones via
local heating and cooling plans.
-","Legislative, Economic","- Legal framework, PLCF, governance & data amplification: €€ €€
- Aid for equipment targeted at vulnerable households: €€€€
- Decarbonisation of existing networks: €€€€
- Quality/training & proactive communication: €€ €€","SPW TLPE; Walloon Government; inter-municipal municipalities; GRD;
regulator, heat/cold operators; managers of public buildings; social actors;
professional federations & qualification bodies.","In preparation","2026–2040"
"Decarbonising heat and strengthening local planning","M12","Measure 12 - Developing renewable alternatives in buildings","Heating and cooling account for more than half of energy consumption in
Wallonia, almost 80% of which is still covered by gas and oil. This dependency
maintains a high economic and climate vulnerability. To reverse this trend,
Wallonia must support the rapid and massive substitution of fossil fuels by
local renewable sources. The measure aims to create a coherent and
competitive ecosystem of renewable solutions, while removing the obstacles
that slow down their diffusion: high investment costs, inadequate energy
taxation, lack of skills, and lack of visibility for households and public actors.
•
The measure thus pursues a twofold philosophy: Actively support
renewable alternatives, facilitating their uptake through tailored
support, training, planning and communication schemes
•
Removing the structural barriers that prevent their deployment, by
reforming the tax and regulatory frameworks, developing the skilled
workforce and ensuring the coherence of technological choices in the
territory.
The dynamic is based on an integrated and complementary approach: Local
heating and cooling plans (LCCPs) determine the most suitable areas for each
technology (heat grids, heat pumps, geothermal, solar thermal), while the fossil
energy phase-out strategy sets the associated deadlines and obligations.
This measure complements this framework by concretely supporting the
deployment of alternatives and by equipping actors to overcome economic,
technical and social barriers.
By integrating economic support, technical framework and citizen visibility,
this measure anchors the transition to renewable alternatives at the heart of the
Renovation Plan, guaranteeing an orderly, fair and credible exit from fossil
heating in Wallonia.","- 2 TWh/year of useful heat will be produced in Wallonia by 2030 by
heat pumps
- 0.2 TWh/year of solar thermal heat will be generated by 2030
- 0.25 TWh/year of heat from deep geothermal and mining by 2030","Legislative, Economic","- Renewable heat support and grid connection: €€€
- Social programmes and vulnerable household bonuses: €€€€","SPW TLPE; inter-municipal municipalities; GRD; heat/cold operators; CPAS
and housing companies; professional federations; certification and training
bodies.","Ongoing","2026–2045"
"Accompanying the renovation","M13","Measure 13 - Supporting the practice of self-renovation","Self-renovation refers to any renovation carried out by a developer – whether
owner, tenant or co-owner – with the support of an accompanying operator, the
work of which has an impact on the energy performance or health of the building.
Already well established in Wallonia, this practice allows many households to
improve their housing at a lower cost, while actively participating in the energy
transition. It addresses several structural challenges:
•
Shortage of skilled labour in the construction sector;
•
The increasing cost of renovation works,
•
The need to intervene quickly on an old built park;
•
The desire for autonomy of some citizens.
However, the lack of a legal, technical and insurance framework is currently
holding back its development. It creates uncertainties about the quality, safety and
traceability of the work carried out by individuals.
The measure therefore aims to structure, supervise and promote self-renovation
as a fully-fledged lever of the Renovation Plan. It will seek to reconcile three
imperatives:
•
Ensure the safety and quality of interventions;
•
To preserve freedom of action and accountability;
•
Ensure that the work carried out is compatible with regional energy
performance and sustainability objectives.
By structuring this framework, Wallonia will recognise self-renovation as a
complementary practice to professional renovation, contributing to the
acceleration and democratisation of the energy transition of the building stock.","- At least 80% of self-renovation works achieve verified energy
performance (via audit or spot check) by 2035
- At least 500 accompanying persons shall be trained in self-renovation by
2030.","Legislative, Economic, Training, Awareness","- Development of the legal framework, digital platform, guides and
training: €€€€
- Deployment of a network of accompanying persons and pilot schemes:
€€€","SPW TLPE, PLRE, EmBuild, UWA, auditors (technical and administrative
support), associative network","Ongoing","2026–2035"
"Accompanying the renovation","M14","Measure 14 - Promote the involvement of condominiums and syndics in renovation planning","In Wallonia, condominiums account for an increasing share of the residential
stock and are concentrated in urban and peri-urban areas, where densification
led to the massive construction of apartment buildings in the 1960s-1990s.
These housing units have specific characteristics in relation to the issue of
energy renovation:
•
Complex governance: renovation decisions require qualified majorities
in the general assembly, which often leads to blockages.
•
Social and financial heterogeneity: within the same building there are
owner-occupiers, private landlords, precarious or elderly households,
which makes it difficult to agree on heavy investments.
•
Lack of planning: There are few condominiums that have a multi-
annual work plan that integrates the energy dimensions. Interventions
are often limited to emergencies (elevator, safety, watertightness).
•
Limited role of trustees: their mission focuses on day-to-day
management, whereas they should play a leading role in informing, activating
and supporting the renovation. The accumulated delay weighs on the energy
transition. Without specific action, a large part of this stock will not be able to
achieve the regional objectives of convergence towards an average A-label
residential stock by 2050. The renovation of condominiums is at the same time
a climate, social and heritage issue: it determines the future value of real estate,
the control of household burdens and the quality of life in urban centres.
The measure proposes to introduce a collective approach to energy
performance and planning. It is based on three structuring levers:
1. A collective energy certificate incorporating an average label
reflecting the performance of the building as a whole.
2. A roadmap for condominiums, combining global diagnosis and
multi-annual work plan.
3. An accompaniment taking into account the specified co-ownerships
The renovation of condominiums must become an element of the energy
renovation of the Walloon building, as well as the renovation of individual
housing and tertiary and public buildings.","- 100% of condominiums have an EPB certificate by 2030 - 10 000
condominium roadmaps established by 2030
- 100 trustees and managers dealing with energy issues and
Project management assistance shall be provided by 2028.
- 10 000 condominiums are renovated by 2035","Economic, Training, Awareness","- Development of EPB tools and training: €€€
- Development of specific support, development of the AMO and
training of trustees: €€€
- Development of standardised tools: €€€€","SPW TLPE, Federia, Municipalities and CPAS, SWCS/FLW, Federal
Administrations, Febelfin","Ongoing","2026 - 2035"
"Helping all households plan and carry out their renovation","M15","Measure 15 - Reinforcing support for precarious and digitally fractured audiences","Support for precarious households is a central issue of the Renovation Plan.
While the achievement of climate objectives requires a massive renovation of
the residential stock, a significant part of the population remains remote from
information, hampered by administrative or digital barriers, and excluded from
support schemes.
These households also suffer the most from energy poverty: unpaid bills,
thermal discomfort, pathologies linked to unhealthy housing, and a sense of
exclusion in the face of procedures deemed complex or inaccessible.
The measure aims to make renovation truly accessible to all, by acting on four
complementary levers:
1. Better targeting of efforts through a fine-grained mapping of
vulnerabilities, making it possible to adapt approaches according to
territories, household profiles and housing types.
2. Reinforce communication and trust through clear and concrete
messages, focusing on health, comfort and savings, disseminated under
a specific visual identity and relayed by a network of local actors
(CPAS, associations, energy counters, etc.) and mobile hotlines.
3. Turning awareness into a complete journey: each contact will give
rise to a proactive follow-up, with quick appointments and guaranteed
deadlines. The steps will be simplified and supported by a ‘digital
splint’, integrated with existing services, to accompany unfamiliar
households step by step with online tools.
4. Provide long-term support through the appointment of a trusted
contact person, guaranteeing continuity of monitoring and
coordination with technical and social operators.
By articulating proximity, clarity, simplicity and continuity, this measure aims
to better target, inform and support precarious households, while removing the
financial, administrative and digital barriers that currently hinder their access
to energy renovation.","- 80% of municipalities have an energy-precarity vulnerability map
and use it to adapt their local actions by 2030.
- 10 000 precarious households will have benefited from a pathway
complete renovation between 2026 and 2030.
-","Economic, Training, Awareness","- Tools and monitoring (vulnerability mapping, assessment and
continuous improvement): €€ €€
- Support and follow-up of households (referrers, site and post-work
coaching, simplification of procedures, digital splint, permanences
and ambassadors): €€€
- Bridge subsidy for access to finance: €€€€
- Home health aid (small pre-renovation interventions): -","SPW TLPE, SPW social action, AVIQ, communes, CPAS, intercommunales,
one-stop-shop and other support operators","In preparation","[2026 – 2035]"
"Helping all households plan and carry out their renovation","M16","Measure 16 - Supporting collective renovation","Accompanied group renovation is a key lever to accelerate the energy transition
of the Walloon building stock. Faced with a still insufficient pace of renovation,
this collective approach makes it possible to scale up interventions, reduce costs
through economies of scale, and increase ownership by simplifying their
journey. It is based on level 3 integrated support, i.e. comprehensive support
ranging from the study of the project to the reception of the works, the search
for funding and the coordination of stakeholders.
Beyond the individual scale, group renovation promotes coherent planning of
public and private investments, integrating energy, climate and social
challenges at neighbourhood level. In Wallonia, the Reno+ experience has
demonstrated the full potential of this approach, but also the need for a
structured framework, articulating regional steering and local initiatives.
The measure provides for:
1. The creation of a regional support platform, integrated into the
Walloon Housing Agency, involving public and private actors. The
platform will be tasked with equipping, supporting and coordinating
local pooled renovation initiatives, building on the experience gained
by Reno+.
2. Deployment of “renovationtrains”,i.e. worksites carried out
simultaneously on similar dwellings, allowing for an industrialised,
replicable and faster approach.
3. District-based programming, integrating energy renovation, local
energy infrastructure (heat networks, distribution, storage) and climate
adaptation developments.
Thus, accompanied group renovation could become an operational pillar of the
Renovation Plan, combining economic efficiency, simplicity for households
and collective impact at territorial level.","- 2,000 housing units renovated collectively between 2026 and 2030.
- At least 10 refurbishment trains deployed by 2029.
- 25% of municipalities with a local pooled renovation strategy
supported by the Regional Support Platform by 2030.","Economic, Training, Awareness","- Regional support platform and common tools: €€€€","SPW – Agence wallonne de l’Habitation, communes et intercommunales, SWL
and AIS (public housing), RENO+ (Buildwise and Embuild), professional
federations and construction companies, social and associative stakeholders.","In preparation","2026-2030 (short- and medium-term)"
"Helping all households plan and carry out their renovation","M17","Measure 17 - Develop one-stop-shops for renovation support","Support is now dispersed between several actors and channels, which
limits the effectiveness of renovation pathways. Households and
tertiary structures must navigate between financial support,
administrative requirements and complex technical choices, often
without a clear vision. This fragmentation can lead to discouragement
of renovation projects and low uptake of existing schemes.
Support can offer three levels of service:
•
Type 1: information and guidance: quick and easy access
to information on relevant aid, obligations and interlocutors.
•
Type 2: personalised support for each project: technical,
administrative and financial advice adapted to the project,
with follow-up from start to finish.
•
Type 3: Delegation of the contracting authority: Full
support of the renovation project by a trusted third party.
The measure aims to gradually structure support around a one-stop
shop able to provide the first two types of support in the short term.","- Harmonisation of advisory tools and audience segmentation
for differentiated cost coverage by October 2028.
- Territorial coverage: a one-stop shop for at least 80,000
inhabitants or accessible in less than 90 minutes in 2026.
- 100% of owners of non-residential buildings
low energy performance invited to a one-stop shop by 2030.
- An integrated renovation service offering the 2 levels of
support throughout the operational territory in 2028
- An integrated renovation service offering the 3 levels of
support throughout the operational territory in 2040","Training, Awareness","- Deployment and operation of physical and digital counters:
€€€
- Harmonisation of tools and development of the digital
platform: €€
- Training and certification of advisers: €€ €€","SPW TLPE, housing agency, energy counters, renovation platforms,
Ordre des Architectes, professional federations","Ongoing","2026-2040"
"Helping all households plan and carry out their renovation","M18","Measure 18 - Supporting the renovation of rental housing","The Walloon rental park concentrates a large part of the most energy-intensive
housing. These dwellings weigh heavily on tenant households. The main
obstacle to the activation of energy renovation lies in the well-known split
incentive mechanism: the owners bear the cost of the works while the energy
savings benefit the tenants. This misalignment discourages many landlords,
especially small owners, from engaging in deep renovations. Conversely, when
works are carried out, some tenants are faced with a sudden increase in rents,
or even a ‘renovation’, that is to say, a disguised eviction after renovation.
The renovation of the rental fleet must therefore meet a twofold challenge:
•
social, ensuring access to decent, safe and affordable housing, without
a net increase in housing costs (rent + energy);
•
Energy-efficient, by phasing out energy sieves and aligning the rental
fleet with the European energy performance targets for 2030 and 2035,
namely a reduction in primary energy consumption in residential
buildings of at least:
-16% between 2020 and 2030.
o
-20 to -22 % by 2035.
o
Achieving this transformation requires combining several levers: a clear
framework for renovated rents, attractive incentives for landlords, enhanced
support by actors on the ground such as AIS, and transparent monitoring
mechanisms. The aim is to create a balanced framework that promotes the
massive renovation of the rental stock while protecting tenants, especially the
most vulnerable.","- Reduce rental housing classified as F or G by 50% by 2030.
- Reach 20,000 rental units accompanied via AIS or one-stop shops by
2033.","Legislative, Regulatory, Economic, Awareness","- Direct aid to lessors coupled with conditions on rents: €€€
- Reinforcement of the AIS and financing of the temporary relocation
fund: €€€
- Monitoring arrangements, pilot projects and targeted communication:
€€€€
-","SPW TLPE, IWEPS/CEHD, Walloon Government, municipalities and CPAS,
federations, SNPC, AWCCLP","Ongoing","[2027-2050]"
"Financing renovation","M19","Measure 19 - Developing innovative financing mechanisms","Financing energy renovation is now the main barrier to action and scale-up in
Wallonia. More than half of the owners do not have the resources to finance
significant work. Existing mechanisms are not sufficient to mobilise all
audiences. The lower middle classes, senior citizens, small landlords or
condominiums face structural obstacles: inadequate borrowing conditions, lack
of collateral, administrative complexity or lack of readability of the
arrangements.
Renovation dynamics therefore remain constrained by misalignment between
investment cost, profitability and financing and debt capacity. The
conventional financing instruments envisaged (premiums combined with the
renopack) tend to concentrate the most substantial support on the most
precarious households, other tools would be provided to the more solvent
households in order to remove the obstacles to a major renovation.
This measure aims to build a coherent and complementary portfolio of
innovative financing tools, able to respond to the diversity of situations and
attract public and private capital in renovation. It is based on three pillars:
1. A regional innovative financing fund responsible for piloting,
pooling and guaranteeing the various instruments;
2. Financial products adapted to each profile: deferred repayment
loans, third-party investment, asset-backed loans, renovation leases,
land transfers;
3. Strategic partnerships mobilizing public actors (SPW, SWCS, FLW,
WE) and the banking sector, around common rules of quality,
transparency and performance.
The challenge is twofold: ensuring equitable access to finance while ensuring
the fiscal sustainability of regional policy. By promoting the re-use of capital
and maximising leverage, these mechanisms are expected to significantly
increase the volume of private investment in renovation by 2040. The actions
detailed below reflect this strategy: rapid testing of priority instruments,
structuring of a clear legal framework, and gradual generalisation throughout
Wallonia.","- Implement at least three innovative financing instruments by 2030.
- Mobilise €200 million of private capital through guarantees and co-
financing by 2030.
- Analyse the possibility of launching pilot projects for the partial
transfer of bare-property","Legislative, Economic, Training, Awareness","- Legal framework, governance and steering tools: €€€€
- Direct financing tools for households and operators: €€€
- Guarantee and de-risking instruments: €€€€","- SPW - Wallonia Entreprendre - SWCS - FLW -SFPIM -
Intercommunales - AIS - banks - Social impact cooperatives.","Ongoing","[2027-2040]"
"Financing renovation","M20","Measure 20 - Reforming financial support for renovation","The policy of financial support for energy renovation in Wallonia has been built
over time by stacking successive schemes (premiums, Rénopack, MEBAR,
etc.) each responding to specific needs, sometimes with a lack of overall
coherence. This system, which is now fragmented, may lack legibility,
regulatory instability and limited budgetary efficiency. The report developed
by the CEHD and the HCS in June 2025 draws a precise conclusion: too long
payment deadlines, modified income scales without predictability, lack of pre-
financing for modest households, and inadequate socio-economic targeting.
These weaknesses hinder the massification of renovation and accentuate
inequalities between households that are or are not able to invest.
In a context where renovation becomes a European regulatory obligation and a
pillar of the Walloon Energy-Climate Plan, the reform of support aims to
rebuild a global, stable and socially just regime. It will pursue three objectives:
1. Simplify devices and make them predictable over several years
2. Adapting support to the real financing capacity of households
3. Maximising leverage by combining public support and private capital.
This reform of financial support is part of the overall scheme integrating the
reform of financial support, the introduction of renovation bonds and the
upgrading of household support. The reform orientation aims at a single and
stable premium-loan scheme, meaning the merging of premium schemes into a
reinforced lending scheme with pre-financing and a social safety net premium
for households with low financing capacity. The reform is based on a portfolio
philosophy of tools modulated according to solvency:
- Low-income households will benefit from a social net premium
coupled with a zero-interest loan and pre-financing
- Intermediate households will have access to subsidised loans
- Higher revenues will be oriented towards market solutions, while
maintaining access to support and guarantee funds.
The schemes will be merged, streamlined and steered by regulations ensuring
consistency between taxation, innovative financing and budget monitoring.
The package will form the basis for the future comprehensive renovation
support scheme, ensuring a balance between social justice, climate impact and
sustainability of public finances.","- Reunite 100% of premium and loan schemes by 2027.
- Focus on the most energy-intensive dwellings (F–G) by 2027.","Legislative, Economic, Fiscal","- Loan scheme 0%-Single premium/Loans at reduced rates: €€€
- Modulated loan portfolio: €€€
- Revised MEBAR: €€
- Co-ownership guarantee: €€
- Piloting, evaluation, observatory: €","SPW TLPE, SWCS, FLW, CPAS,","Ongoing","[2027-2040]"
"Mobilising public and private exemplarity","M21","Measure 21 - Leading by example through ambitious renovation of public buildings","The public park is a central lever to drive the renovation dynamic. With
thousands of buildings managed by the public authorities in Wallonia
(administrations, schools, sports infrastructure, rest homes, cultural centres,
etc.), their energy consumption and outdated state weigh heavily on public
finances and regional greenhouse gas emissions.
Beyond the direct impact on energy consumption, the renovation of public
buildings plays an essential role as an example: Local and regional authorities
are expected to lead the way, experiment with innovative solutions and give
confidence to households and businesses alike. Each renovated school, each
communal house transformed into an efficient and comfortable building
becomes a showcase of the energy transition and a positive signal sent to
society.
The European Union has strengthened this exemplary role. The Energy
Efficiency Directive2023/1791 requires the annual renovation of at least 3% of
the useful floor area of public buildings owned by public authorities, aiming at
near-zero energy consumption and zero emissions by 2040. At the same time,
the EED Directive revised in 2023 sets an annual reduction obligation of 1.9%
of final energy consumption in the public sector, as well as an obligation to
carry out renovation passports for 3% of the area. These obligations require
greater mobilization, both financially and in terms of governance and training
of public managers. Moreover, public buildings are not required to comply with
the renovation obligations laid down for the residential and non-residential
sectors.
In Wallonia, several instruments are available to the public authorities:
UREBA grants, the Renowatt mechanism, the POLLEC programme and tool,
the TOTEM tool for life cycle analysis, and energy monitoring initiatives. But
these tools remain too dispersed and suffer from a lack of coherence and
visibility, especially for small municipalities. This measure therefore aims to
consolidate and amplify existing tools, ensure compliance with European
obligations, and put the renovation of public buildings on a clear and legible
path.","- Reduce final energy consumption in the public sector by 1.9% per
year (2026–2040).
- Achieve 100% QZEB non-residential public park by 2040.","","- Design, interoperability and digitalisation: €€ - Financing of
renovations: €€€€","SPW TLPE, Walloon Government, public bodies","Ongoing","2026-2040"
"Mobilising public and private exemplarity","M22","Measure 22 - Renovating public housing in an exemplary manner","The public housing stock in Wallonia is a pillar of housing policy and the
energy transition. Composed of around 110 000 units, it is mainly home to
vulnerable households with precarious or modest incomes. More than half of
these homes have not yet undergone deep renovation. This leads to
disproportionate heating loads, health and comfort problems, and exacerbates
social inequalities.
The exemplary renovation of this park is both a social and climate requirement.
It must enable tenants to benefit from decent, economical and healthy housing,
while respecting European and regional commitments to reduce greenhouse
gas emissions. The Walloon renovation strategy sets a clear and ambitious
objective: Achieving the decarbonised EPB A label on average by 2040, at a
sustained rate of 5,000 renovated dwellings per year.
This can only succeed by mobilising strong governance, innovative financing
mechanisms, the establishment of the housing agency and one-stop-shops, and
enhanced social support. It also implies taking into account the energy quality
of housing in the calculation of social rent. Finally, this renovation must play
an exemplary role: Each renovated social housing complex must be a showcase
of the Walloon energy transition and inspire the renovation of the private park.","- Achieve an annual rate of 5,000 renovations on average by 2027.
- Renovate 25,000 unrenovated public housing units by 2030.
- Maintain a level of accessible rents for 100% of households housed
after renovation – taking into account hot rent.","","- Strengthening local capacity (SLSP/AIS training, monitoring and
follow-up by CEHD/IWEPS): €
- Regional direct grants to co-finance the work of SLSPs and AISs and
to finance support for tenants: €€
- Establishment of renovation funds: €€€
- Heavy renovation works: €€€","SPW TLPE, SWL/CEHD, AIS, communes and intercommunales, IWEPS","Ongoing","2027-2040"
"Developing a quality and resilient offer","M23","Measure 23 - Integrating climate resilience criteria into renovations","Climate change exposes Walloon buildings to increasing risks: heat waves,
runoff, droughts, extreme winds. These hazards directly affect the comfort,
durability and health of occupants, but are still insufficiently integrated into
renovation projects.
This measure aims to structure the gradual integration of climate resilience
throughout the renovation process, from stakeholder awareness to post-work
monitoring, adapting existing tools, benchmarks and incentives. It has a
twofold objective:
•
Strengthen the capacity of the renovated building to withstand future
climatic hazards;
•
To equip professionals and project leaders to integrate these
dimensions into the design, diagnosis and execution of construction
sites.
To achieve this, Wallonia will develop diagnostic devices, regulatory
requirements, including those of the EPB, financial support mechanisms and
design practices in public and private procurement.
The inclusion of resilience criteria in audits, bonuses, specifications and
technical guides will make the implementation of solutions adapted to the local
context more readable and accessible: high-performance insulation, sun
protection, greening, rainwater management, choice of sustainable materials.
By structuring public action around climate criteria differentiated according to
exhibition areas and building typologies, the measure aims to increase the
effectiveness and relevance of renovation policies. It creates the conditions for
a change of scale, building on existing tools (notably the GRO), exemplary
pilot projects and an effort to train and disseminate good practices.","- 100% of audits issued from 2030 onwards include a component ""
Climate Vulnerability
- 100% of subsidised regional public renovation contracts
use the GRO tool with climate resilience criteria by 2030.
- ≥ 25 % of subsidised renovations in exposed areas include
climate adaptation solutions by 2030.
- 80% of renovation support structures trained
climate resilience challenges by 2029.
- Implementation of at least 10 public pilot projects integrating
adaptation measures between 2026 and 2032.","Legislative, Economic, Training, Awareness","Budget:
•
Regulatory: €€ €€
•
Training and awareness-raising: €€ €€
•
Financial incentive: €€€ (a few M€/year)
•
Exemplary public buildings – pilot renovation: €€€","SPW TLPE, AWAC, Municipalities, Wallonia Housing Fund, Energy Banks","In preparation","[2026–2040]"
"Developing a quality and resilient offer","M24","Measure 24 - Reducing the carbon footprint of buildings","Until now, the climate performance of buildings has been assessed mainly
through their energy consumption in the use phase (heating, ventilation,
lighting). However, this approach covers only part of the problem: greenhouse
gas emissions associated with the entire life cycle of the building - extraction
of raw materials, production of materials, transport, construction, maintenance,
demolition and waste treatment - now account for a significant share and
increasing from balance sheet carbon
global.
As buildings become more energy efficient, the ‘grey’ emissions of materials
(concrete, steel, glass, insulators) become more and more important in the total
footprint.
Directive (EU) 2024/1275 on the energy performance of buildings introduces
for the first time an obligation to assess and display the life cycle carbon
footprint (LCA) of new buildings. This requirement will apply from 2028 for
buildings over 1000 m2 and from 2030 for all new buildings. Each Member
State will also have to publish, by 2027, a national roadmap setting degressive
limit values per building type. This development marks a paradigm shift:
carbon performance is no longer limited to operational energy efficiency, but
extends to all stages of the life cycle of the building.
Wallonia already has a recognised operational tool that meets these
requirements: TOTEM, developed jointly with Flanders and Brussels. The
measure therefore aims to institutionalise TOTEM as an official Global
Warming Potential Assessment (GWP) tool for new buildings and ultimately
for deep renovations. Its ambition is to ensure a faithful, pragmatic and
progressive transposition of European requirements, while mobilising existing
tools, developing calculation and monitoring capacity and supporting
stakeholders in the sector (architects, design offices, developers, public
authorities).
Beyond the regulatory obligation, this measure is part of a logic of circular
economy and material sobriety. It supports the transition to low-carbon
construction in Wallonia. This integrated approach will allow the Region to
align its renovation and construction policies with the European climate
neutrality objectives, while stimulating innovation and the upskilling of the
sector. Ultimately, carbon assessment will become a tool to support public and
private decision-making, ensuring consistency between energy performance,
material sustainability and overall environmental impact.","- Use TOTEM for 100% of new public buildings over 1,000 m2 from
2028, then for all new buildings from 2030
- Publish at the end of 2026 a regional roadmap setting limit values by
typology
- Train professionals to use TOTEM by 2030.
- Reduce by 40% the global warming impact on the entire life cycle of
new and renovated buildings by 2040 compared to 2020.","Regulatory, Economic","- Updating and interoperability of TOTEM with PEB: €€€€
- Training and certification of professionals: €€€€","- SPW TLPE, SPW Sustainable Development, VITO, Circular Wallonia,
other regions","In preparation","[2026-2050]"
"Developing a quality and resilient offer","M25","Measure 25 - Deploy a strategy to train, attract and retain the workforce","The success of the Walloon energy renovation plan for buildings is based on a
human factor above all: availability, competence and retention of the
workforce. Today, the Region faces an estimated structural deficit of between
20 000 and 25 000 full-time equivalents by 2030 if the current pace of training
continues.
Tensions affect the entire value chain: from field occupations (insulators,
roofers, heaters, carpenters) to management occupations (architects, auditors,
project management assistants). Recruitment time is significantly longer in
construction occupations, sometimes more than several months for technical
functions, and 9 out of 10 construction companies have fewer than 10 workers,
limiting their ability to grow.
The shortage is twofold: quantitative, with a lack of effective labour, and
qualitative, with a lack of skills on bio-based materials, efficient renovation,
cross-industrycoordination and the use of digital tools. Tensions in the labour
market also have a territorial dimension: the Luxembourg and Namur basins
suffer from a lack of training provision, while Hainaut concentrates a high
demand for skilled labour in the HVAC and insulation trades.
Faced with this observation, the strategy aims to recruit, train and retain a new
generation of renovation workers, while accompanying the transformation of
the sector.
It is based on four complementary levers:
1. Plan: The Regional Observatory for Trades and Renovation
(dedicated sheet) will provide the statistical and prospective basis for
calibrating needs by basin and occupation.
2. Train: modernise curricula and develop the requalification of
declining professions.
3. Attract and include: make jobs more visible, attractive and
accessible to all audiences (young people, women, retraining workers).
4. Retain and structure: building business capacity, improving
productivity and establishing a sustainable quality framework.","- Train or reskill 10 000 people in renovation occupations by 2030.
- Achieve 40% sustainability orientation in technical and vocational
education by 2030.
- Increase the share of women in renovation occupations to 15% by
2030.
-","","- Initial, continuing and requalification training (centres, instructors,
technical modules): €€€
- Educational infrastructure (platforms, school sites,
sustainable campuses): €€€
- Business support, mentoring, hiring support, communication: €€","SPW EER; FOREM; IFAPME; Technical and higher education;
Clusters GreenWin and Ecoconstruction; Embuild; Constructiv; trade unions;
UWA.","In preparation","2027-2040"
"Developing a quality and resilient offer","M26","Measure 26 - Developing the circular economy in the construction sector","Construction and renovation still generate high resource consumption and
waste generation today, even though Wallonia has a high potential for re-use
and recovery of materials. This measure aims to gradually integrate circular
economy principles into construction and renovation projects, mobilising both
existing regulatory, financial and technical tools and developing new levers
adapted to the needs of the sector.
It responds to a twofold challenge: reduce the environmental impact of
buildings by maximising the reuse of resources, and support professionals
towards more sustainable and innovative practices. Concretely, this means
adapting the specifications and urban planning rules to promote reversible and
removable design, making certain financial aid conditional on the use of
sustainable materials or re-use, and supporting demonstration projects to test
and disseminate circular solutions.
Implementation will also require stronger support for local and regional
players: training of technical services, provision of guides and repositories,
pooling of diagnostic tools, creation of standard frameworks for public
procurement. Feedback from pilot projects will be used to accelerate the uptake
of these practices, both in public and private construction sites, and to make
circularity operational across the territory.","- 100% of the public projects concerned carry out a diagnosis
Re-use/maintenance before permit by 2029.
- 1000 trained/certified “circular skills” professionals
by 2030.
- Integrated regional window operational in 2027;
- ≥ 150 demonstrator projects supported 2026–2030.","","- Regulatory (vision, , standard specifications): €€ €€
- Training (training, “circularity” coaches): €€€€
- Economic (calls for projects, grants): €€€
- Development/strengthening of tools (guides, fiches, standard
templates): €€€€
- Communication/Awareness-raising (one-stop-shop, campaigns,
information dissemination): €€€€","- Regulatory & urban planning: SPW Territory, DDD
- Training: SPW Economy, FOREM
- Pilot projects: ACER, Greenwin
- Tools & referentials: SPW Economy, Buildwise...
Communication/awareness raising: Circular Wallonia","In preparation","[2026 – 2040]"
