measure_id,measure_name,objective,type_of_policy_or_measure,planned_budget_and_sources,entities_responsible,state_of_execution,date_of_entry_into_force,implementation_period
M19.11,"Guarantee scheme and obtaining European funding","Design guarantee schemes in cooperating with financial institutions in Slovenia and the EU (EIB) and obtaining financial resources to implementation of the guarantee schemes in combination with existing financial instruments. Provision of implementation instruments in cooperation with financial institutions (and acquisition of European assets (in cooperation with the EIB).",economic,"EIB, European funding","Eco Fund, MOPE, MKRR",Under development,2025-2027,2024-2027
M19.12,"Energy management in the public sector","Preparation of the technical basis for long-term energy and climate strategy for the public sector with an energy management programme in the public sector. The conclusions of the technical basis are transferred to the updated Regulation, which also ensures a systemic provision of assets for purpose of the operation of the energy management system in the public sector. Introduction of a new RE-CO service – Reviewing and optimising the functioning of building systems already in place, their operation and maintenance procedures and the interaction with building users with the aim of reducing costs and energy use and improving housing comfort. Improving energy management in state-owned buildings through energy management. The project aims to equip public buildings under MJU management with systems for monitoring and recording energy use. Monitoring by type and purpose of use will be possible. The focus is on the energy needed for heating, chilling; ventilation, lighting and hot water preparation in buildings. Awareness raising and information JS technical and professional support on the importance of reporting data on buildings larger than 250 m² of useful surface area: on technical building systems and the state of the building, on the use of annual energy for heating, cooling, electricity and hot water, on planned and implemented measures in the field of RES and efficient energy use. Data are recorded in the national energy management application in the public sector — energy bookkeeping; which is intended for liable parties (PSOs and PSOs) and energy managers. Edit legal relationship between ministries responsible for energy and local energy organisations, such as regional development agencies with a ministry in the field of regional development, and ensure financial resources for energy management in PSG buildings and promotion of comprehensive renovations of buildings of the wider public sector. Fill gaps in organisation and ensure relevant human (energy managers) and financial resources to implement energy management in PSO buildings and promote sustainable renovation of narrower public sector buildings.",other (monitoring, reporting and support activities),"Not specified","MOPE, MJU, PO, all ministries",Under development,2025-2028,2025-2028
M19.13,"Grant schemes for energy efficiency in the public sector","Continuation and follow-up of the implementation of the Facility: improve the monitoring of the effects of investments receiving credits (Eco Fund and others) to reduce energy use and GHG emissions and increase energy production from RES. The provision of a systemic financial resource shall be considered in the DSEPS.",economic,"PEKP 2021-2027, RRP, Climate Fund, URE contribution","MOPE, MJU, Eco Fund",Under development,2025-2026,2024-2026
M19.14,"Non-reimbursable investment incentives for public buildings (increase EPO share)","Ensure the continuity of grants for promotion of investment energy renovations of public buildings and, in this context, with appropriate planning of calls for tender or invitations, as even and predictable as possible, in the implementation of investments, between which belongs to a.k.a. advanced management of systems in and on buildings. Encourage the preparation of projects in the context of the acquired and additional assets ELENA International Technical Assistance for the Energy Renovation of Buildings of the Core and Broader Public Sector. Strengthen activities at policy area education and trainings all involved in the preparation and implementation of projects for the energy renovation of buildings.",economic (financial incentives),"PEKP 2021-2027, RRP, ELENA, Climate Fund","MOPE",Ongoing,Every year,2024-2027
M19.15,"Quality assurance of building energy renovation projects","Provision of superstructures system for provisioning quality of energy building renovations in the framework of structured process of cooperation stakeholders; certification of performers and processes; education or alternatively training stakeholders in line with DSEPS",set of instruments,"Not specified","MOPE",Under development,2024,2024
M19.16,"Project Office for the Comprehensive Renovation of Public Buildings","Provision of relevant human and the financial resources needed to carry out the Office's additional tasks. This scope a.k.a. strengthening preparations integrated renovation projects for public buildings, through the development of a scheme providing incentives for the preparation of projects; as a.k.a. Z awareness raising and training of those responsible for deep renovation at all levels to prepare and implement projects in public sector buildings (construction and energy). Better target incentives under OP EKP tenders/tenders also towards reaching the RES target share and thus ensure additional heat generation from RES in the public sector in line with the RES objectives.",other (organisational measure),"Not specified","MOPE",Under development,2025-2026,2024-2026
M19.17,"Programme to phase out the use of fossil fuels in buildings","At on the basis of NECPS and priority a 2050 fossil fuel phase-out programme shall be developed for the needs of different stakeholders or building typologies to guide heating and cooling sources and technologies in line with existing legislation. The programme contains a plan on how the orientations will be translated into legislation for implementation, types of incentives at national and local level and how to implement them to decarbonise the building stock by 2050. Emphasis will also be placed on the public sector, which, in accordance with Article 5 of the EED, must improve the energy performance of buildings, including by replacing old and ineffective planning, regulations Promoting the phase-out of fossil fuel use in buildings by programming deadlines and measures related to a ban on the sale and installation of fossil fuel boilers. Reinforcement of non-reimbursable investment incentives and establishment additional financial instruments to replace fossil fuel heating systems with efficient and sustainable alternatives (for example DHS, or individual solutions on RES). Establish positive discrimination for access to resources for low-income consumers and the energy poor.",planning, regulations,"Not specified","MOPE",Under development,2025-2026,2024-2026
M19.18,"Tax and environmental policy governance to support fossil phase-out","Setting the level of the CO2 emission tax and the amounts of excise duties on fossil sources until 2030 for heating (ELKO, LPG, NG) with a view to speeding up the transition to RES.",cluster of instruments (tax and environmental),"Not specified","MF, MOPE",Under development,Not specified,Not specified
M19.19,"Information system for data on energy performance of buildings","The information system shall consist of: subsystems for the production and issue and maintenance of the register of energy performance certificates, subsystem for the production and maintenance of the register of reports of inspections of air-conditioning systems, subsystem for energy management in the public sector — energy bookkeeping; subsystems for system administration and management of registers, the register of independent experts on energy performance certificates, register of issuers of energy performance certificates; the register of independent experts for the inspection of air-conditioning systems, register of publishers of air-conditioning system reports, registers administrators reporting on energy accounting. The information system to collect data on the energy performance of buildings will be in line with the needs of European and national legislation.",Development, upgrading and maintenance,"Not specified","MOPE, MJU, MDP",Under development,2026,2026
M20.1,"Project Office for the Comprehensive Renovation of Housing Buildings (PP-TPSS)","Provision of relevant human and financial resources to carry out the Office's tasks in the context of financial instruments for the deep renovation of residential buildings, including the acquisition of European funds (ELENA, Guarantee Fund). This includes, in particular, strengthening the scope and quality of project preparation for deep and sustainable building renovations (one-stop-shops) and supporting the implementation of financial instruments for deep, multi-apartment and single/two-family buildings.",other (organisational measure),"ELENA, Guarantee Fund","MOPE, MNVP",Under development,2024-2026,2024-2026
M20.2,"Active buildings","Development of solutions and measures for the effective control of energy on buildings and the effective integration of renewable energy sources in order to adapt production and consumption, improvements of energy and cost-effectiveness of the system and security of supply.",background, incentives,"Not specified","MOPE",Under development,2025,2025
M20.3,"Comprehensive renovation of publicly owned housing (inventory, study, strategy, implementation)","Conduct a comprehensive inventory of publicly owned housing in terms of housing quality, seismic safety; energy effectiveness and potentials and the suitability for renovation and energy upgrading (installation of RES) of the building stock. In addition, a study on the adaptation of buildings to sustainable mobility with a plan for alternative use of spaces for stationary traffic shall be drawn up. Preparation of a strategy for the integrated renovation of the public residential of the Pool as special works National a housing programme including: improving energy efficiency; the siting of RES on their own; or foreign facilities; verification of Potential the promotion of energy communities; definition of objectives, timelines, implementation structures; anticipating key the instruments for implementing the strategy (the set of instruments). Implementation of the strategy, including: stable and predictable financing for deep renovations; cooperation between stakeholders, information; strengthening the ability of public stock owners to renovate holistically.",planning,"Not specified","SME, MOPE, ISF, SMES; THE SSRS, municipalities, Eco Fund",Under development,2026-2035,2026-2035
M20.4,"DSEPS Recast (long-term strategy to 2050)","Adoption of Long-term strategies for energy renovation of buildings by 2050, addressing other, new measures that they are also additional to the NECPs and stem mainly from the obligations of the recast EPBD. DSEPS also relates to other aspects of renovation of buildings as is climate resilience.",legislation,"Not specified","MOPE",Under development,2026,2026
M20.5,"Adoption of the Action Plan on the renovation of public buildings","The RRP provides for the establishment of an action plan for the renovation of public buildings, to be approved and published by the MOPE, containing at least an analysis of the building stock, an analysis of the needs in the public sector and taking into account ensuring service continuity during building renovation and concrete steps in building renovation, including identifying possible sources of funding. (In addition to preparation institutions included other operators or actors.) One of these options it is also envisaged establishment of systemic public financial sources for funding energy renovation of buildings narrower (and possibly broader) general government.",financial,"RRP","MOPE, MF, MJU",Under development,2025,2025
