measure_id,measure_name,short_description,type_of_strategy_or_measure,quantified_objective,indicative_budget_and_sources_of_financing,bodies_responsible_for_implementation,estimated_impact,state_of_implementation,date_of_entry_into_force,implementation_period
AT_012,BAUAkademie Tirol: Qualified assessment of buildings incl. specialisation module ÖNORM B1301 ‘Non-residential buildings’,"The seminar provides specialist knowledge for carrying out property inspections on residential and non-residential buildings. Contents: visual inspections, test routines, handling of ÖNORM 1300/1301, assessment of sources of danger, liability situations, preparation of findings and expert opinions. The aim is the professional assessment and documentation of safety risks in buildings.",Training and further education for specialists and managers in the construction sector,Implementation of annual seminars / qualification of specialists and executives,"EUR 1,840.00 per person; financing via participant contributions, if necessary public funding",Organizer: BAUAkademie Tirol; Professional responsibility: speakers/experts; Certification body;,"Increased professional competence of the participants, implementation of legal and technical standards, contribution to safety, quality and standards conformity in the construction industry",Ongoing training offer; repetition annually,constantly,Perpetual; annual implementation in March
AT_013,BAUAkademie Tirol: Specialist training,"Causes, prevention and measures for mould, algae and household sponge, prevention and documentation of building damage. Practical advice on checking, preventing and involving experts.",Training and further education for specialists and managers in the construction sector,Implementation of annual seminars / qualification of specialists and executives,"Pricing is provided by the different continuing education courses for each participant; financing via participant contributions, if necessary public subsidies",Organizer: BAUAkademie Tirol; Professional responsibility: speakers/experts,"Increased professional competence of the participants, implementation of legal and technical standards, contribution to safety, quality and standards conformity in the construction industry",Ongoing training offer; repetition annually,constantly,Permanent; annual implementation in March and November
AT_014,"BAUAkademie Tirol: Training courses on the OIB guidelines 2,3,4 (2023 edition)","Provide practical knowledge on OIB guidelines 2, 3 and 4 (fire protection, hygiene, accessibility). The aim is the qualification of architects, builders, civil engineers and experts to ensure legally compliant planning, execution and inspection in the construction industry.",Training and further education for professionals in the construction sector,Implementation of annual seminars/qualification of specialists and executives,"EUR 400.00 per person; financing via participant contributions, if necessary public subsidies",Organizer: BAUAkademie Tirol; Professional responsibility: speakers/experts,"Increased professional competence of the participants, implementation of legal and technical standards, contribution to safety, quality and standards conformity in the construction industry",Ongoing training offer; repetition annually,constantly,Permanent; annual implementation April and November
AT_015,BAUAkademie Tirol: Tyrolean Construction Law from the Technician for Technicians,Mediation of the essential building law provisions of the Tiroler Bauordnung and the Tiroler Raumordnungsgesetz (Tyrolean Spatial Planning Act) incl. practical examples. Overview of all building regulations from the start of construction to the building permit.,Training and further education for specialists and managers in the construction sector,Implementation of annual seminars / qualification of specialists and executives,"EUR 230.00 per person; financing via participant contributions, if necessary public subsidies",Organizer: BAUAkademie Tirol; Professional responsibility: speakers/experts,"Increased professional competence of the participants, implementation of legal and technical standards, contribution to safety, quality and standards conformity in the construction industry",Ongoing training offer; repetition annually,constantly,Permanent; annual implementation in March and October
AT_016,BFI Tirol Construction Law Day - Continuing education on current legal developments in the construction industry,"The Construction Law Day is an annual, full-day training event of the BFI Tirol. The aim is to provide professionals from the construction industry, planning, architecture and representatives of municipalities with a practical overview of current developments in construction law. The event consists of specialist lectures and short legal inputs, in particular on the amendment of directives, official approval procedures, building regulations and country-specific interpretations. Participants receive a confirmation of course attendance and benefit from direct exchange with experts and representatives of the authorities.","Training measure (presence format), awareness-raising measures for new legal requirements in the construction sector","At least 120 participants per year, continuous expansion; maintaining a continuous training format for legal certainty in the construction sector",Financing through participation fees; discount model for companies from 3 persons,"The Construction Law Day is organised by the BFI Tirol in cooperation with renowned cooperation partners, including the Tyrolean Association of Associations, the State of Tyrol, the Chamber of Civil Engineers, the Energy Agency Tyrol as well as the law firm Girardi, Schwärz ler and Pichler.",Improving legal certainty in the planning and execution of construction projects; avoiding planning errors and approval problems; securing qualifications for key players in the Tyrolean construction sector,"Regularly implemented, next implementation on 16.04.2026 in In nsbruck; program is updated annually and adapted to legal developments",2010,Annual implementation since 2020
AT_017,"BW/ERDF 2021-2027 - Investment in employment and growth Guideline of the State of Styria for the Promotion of Integrated Sustainable Urban Development Call for proposals ""Living Towns and Towns""","The aim of this programme is to reduce existing deficits in the local and urban centres by means of a participatory integrated spatial development strategy by supporting their creation and the resulting flagship projects. The main objective is the adaptation of the public (free) space to places of living, meeting and recreation, with particular regard to the challenges posed by climate change.",Reduction of heat stress through planting and shading EU funding programme Land Directive 15a Agreement,"• Adaptation of public (free) space to public places of life, encounters and recreation • Promoting active and climate-friendly mobility with simultaneous reduction of motorised transport • Construction of attractive and multifunctional urban furniture •",Total: EUR 18.75 million EU funding: EUR 15 million State funding: EUR 3.75 million,"Department 17 Regional and Regional Development Department 12Economy, Tourism, Science and Research","• Creation of places of life, encounters and recreation • Increasing the attractiveness and quality of stay of public (free) spaces • Climate change-adapted (free) spaces in the town centres",constantly,12.08.2024,Application period: until 31.12.2027 Implementation: expected by 31.12.2028
AT_018,BauPolG - §37a Charging and Network Infrastructure,"(1) For the construction of buildings with a parking space requirement of more than 10 mandatory parking spaces, the following facilities of the La deInfrastruktur shall be established: 1. in the case of residential buildings, the pipeline infrastructure for each mandatory parking space; 2. in the case of non-residential buildings, a recharging point and, for every fifth starting mandatory parking space, the line infrastructure. In the case of mixed-use buildings, the requirements of points 1 and 2 only apply if the respective use (residential or non-residential use) is accompanied by a parking space requirement of more than 10 parking spaces. The provincial government may adopt more detailed provisions with regard to the technical requirements for recharging points and pipeline infrastructure by means of a regulation. (2) In the case of existing buildings, facilities of the required infrastructure shall be retrofitted in accordance with subsection (1) if structural measures for renovation or renewal or conversion are carried out, which also cover the mandatory parking spaces or the electrical engineering infrastructure of the construction. (3)In the case of existing non-residential buildings or mixed-use buildings with a parking space requirement of more than 20 parking spaces (for non-residential use), a charging point shall in any case be retrofitted by 1 January 2024. (4)When constructing construction facilities or renewing the electrically- technical infrastructure of existing construction facilities, appropriate precautions (e.g. empty piping) must be taken to ensure that the construction facilities can be equipped with an access point for electronic communication and with high-speed-capable in-building physical infrastructure up to the network termination points.",legislative,,,Province of Salzburg,,,2021,constantly
AT_019,Bau tackles - Initiative to strengthen regional employment in Carinthia,"The ‘Bau grabt an’ initiative aims to boost employment in Carinthia by investing in regional infrastructure. The measure includes the promotion of construction and development projects in various sectors, such as tourism, transport and energy. The aim is to create jobs and develop the regional economy.",Economic development measure with a focus on infrastructure development and employment promotion.,,,The Chamber of Commerce of Carinthia; the Government of Carinthia; the European Union (ERDF funding); private companies and investors,The measure is expected to have a positive effect on the regional economy and employment. It is expected that the creation of new jobs and the strengthening of regional infrastructure will improve the quality of life in Carinthia and reduce the outflow of young people to other regions.,The measure is currently in the implementation phase.,in force since 2022,The action will be implemented over a period of 3 years. With option for extension.
AT_020,Burgenland Climate Protection Act and Climate Strategy 2023 and Heat Price Covers,"Section 1(1) of the Bgld Climate Protection Act of 16 October 2025 Burgenland aims to ensure that, by 2030, the amount of renewable energy produced in Burgenland in a calendar year exceeds the total amount of energy consumed within the national border during that period (‘balance sheet climate and energy efficiency’). This goal is achieved, on the one hand, by expanding renewable energies and, on the other hand, by consistently reducing greenhouse gas emissions. Both the expansion of renewable energy production and the reduction of greenhouse gas emissions will continue beyond 2030. Burgenland pursues the goal of phasing out fossil fuels (oil, gas, coal) by 2040 and takes the necessary measures within the scope of its competences. Maintain and continue to drive forward the pioneering role in the expansion of renewable energies. The heat price cap is a subsidy of the country for Bur Genoese private households. The support is intended to help households with low and middle incomes to cope with the enormous increase in heating costs. When calculating the level of support of the heat price cap, the net household income and the heat cost (heating costs) of the household are taken into account. The heat price cap is a promotion of the state for Burgenland private house think. The support is intended to help households with small and medium-sized incomes to cope with the enormous increase in heating costs. When calculating the subsidy amount of the heat price cap, the net household income and the heating costs (heating costs) of the house are taken into account.",Overarching master plan for the energy sector. Financial support measures,"The aim of the Bgld Climate Protection Laws and the Climate Strategy 2030 is to achieve climate and energy neutrality in the balance sheet by 2030 and to phase out the use of fossil fuels by 2040. Further expansion of new bare energies. To produce at least 9 300 GWh of renewable energy in 2030. Burgenland aims to supply households and companies with renewable energy as cost-effectively and safely as possible, for example by expanding the association ‘Fanclub Burgenland Energieindependent’ or supporting renewable energy communities. Support for the costs of room heating for Burgenland households with small and medium incomes through the heat price cap.",Funding from the current budget,"Dept. 4 – Agriculture, Nature and Climate Protection and Division 9 – EU, Society and Support",The Climate Protection Act and the Bgld Climate Strategy 2030 form the legal basis for numerous implementation measures in the energy sector. Preventing energy poverty,constantly,"Bgld climate strategy since 2023, Bgld climate law since 2025, heat price cap since 2024",constantly
AT_021,CLEAR! Regions face the consequences of climate change,"Austria's regions and municipalities are already massively affected by the consequences of climate change. In addition to a further forcie of climate protection measures, i.e. the reduction of greenhouse gas emissions, we must learn to deal with the changing climate conditions. This means that we solve problems that already exist, such as heat or stronger genes, prudently and without negative effects on other areas. At the same time, it is important to think about further developments, for example in order to make our forests climate-friendly or to secure the drinking water supply. And, of course, opportunities should also be identified and exploited, such as a seasonal expansion in tourism or the longer growing season in agriculture.",• Climate and En ergy Str ateg y Styria 20 30 plu s Link: https://www.technik.steiermark.at/cms/ziel/128523298/en/,• Development and implementation of regionally tailored development strategies • Awareness raising • Preservation of quality of life • Strengthening regional resilience • Inter-municipal cooperation,,"A15 Energy, housing, technology",Awareness-raising in the area of climate and energy of the regions with a focus on climate change adaptation,constantly,constantly,constantly
AT_022,Caritas Tirol residential umbrella Energy,The Wohnschirm Energie is an Austrian-wide social measure implemented by various social organisations such as Caritas Tirol. Low- income households will be supported to cover their energy costs and avoid energy cut-offs.,"social measures, economic measures, awareness-raising measures",The aim is to prevent heating stoppages in low-income households by taking over energy bills. Energy consultations are also carried out.,€134 million by 2026; financed by federal funds,"Counselling centres of the Caritas, the Red Cross, Diakonie","Prevention of power cuts, energy savings through consultations",2023: Support to 2173 households  Impact report 2023 Caritas Tirol,1 January 2023,at least until 2026
AT_023,Charging infrastructure,"Within the framework of the funding measure ""Promotion of alternative mobility"" of the Bgld. Eco-energy funds also support the construction of charging infrastructure (wallboxes) of private individuals in residential buildings by means of non-refundable subsidies.",Financial support measures,Expansion of charging infrastructure,Bgld Green Energy Fund,Department 9 Main Unit for Housing Promotion,Significantly more electric vehicles and expansion and consolidation of the Lad eInfrastructure.,constantly,,constantly
AT_024,Circular economy,"In Burgenland, 71 intermediate building waste storage facilities are available for the collection and subsequent production of high-quality recycled building materials (cf. Bgld. Waste management plan planning phase 2021 - 2025). The production and use of recycled building materials meets both the waste hierarchy and the objectives of the circular economy.",Resource conservation,Collection and recycling of building materials.,,Dept. 5 – Main Unit for Construction and Environmental Technology,Reuse of recycled building materials,constantly,,constantly
AT_025,City of Innsbruck:Quartiersmanagement Rossau,"The district management Rossau is a low-threshold intersection between all actors in the Rossau economic area. Challenges from local companies are actively taken up and dialogue, transparent knowledge transfer and goal-oriented solutions are put in place. Networks between companies, property owners, politics, the city and municipal institutions, the Tyrol Chamber of Commerce, the Tyrol Site and Energy Agency and other relevant organisations are moderated and managed. The aim is to strengthen Rossau as an attractive and future-oriented economic centre.","Awareness-raising measures, training measures, sustainability measures, cost-effectiveness measures (development of economic strategies)","Location development, sustainable mobility, energy solutions, circular economy, quality of public space, green and open space potential, offers for employees, renovation and new construction",,District management Rossau,Strengthening Rossau as an attractive and future-oriented economic centre,,,constantly
AT_026,City of Innsbruck: Cool-INN; COOLYMP,"Cool places for a cool Innsbruck; cool-INN has already been implemented by the city of In nsbruck, the IKB, the University of Innsbruck and the University of Natural Resources and Life Sciences in Vienna (BOKU). The aim was to achieve an improved quality of the site and the park at the exhibition grounds in Ing-Etzel-Straße. The DDr. Alois-Lugger Square (COOLYMP) in the center of the Olympic Village with the involvement of the population, local clubs and businesses. The adjacent Olympic Park is also included in the plazas. The special challenge lies in the fact that the square is completely underbuilt by an underground car park, which means that innovative ideas are in demand from the population with the help of technical and scientific know-how.","Cooling of so-called heat islands, awareness raising, economic strategies","Creation of a climate-friendly, attractive and safe meeting point for all, cool places for a cool Innsbruck, improved location of the exhibition forecourt and the park at the exhibition grounds, continuation of new ways of waste disposal (underground collection system)",,"City of Innsbruck, University of Innsbruck, representatives of the IIG, Innsbru cker social services ISD",Improvement of the quality of stay of so-called heat islands,Cool-INN has already been implemented; Coolymp construction starts April 2024,Cool-INN: Summer 2022; Coolymp: Spring 2024,2021 - 2025
AT_027,City of Innsbruck: Innsbruck City Climate Analysis,"The urban climate analysis is a comprehensive, systematic actual analysis of Innsbruck's urban climate, was prepared according to the VDI (Association of German Engineers) and supplemented by a summery messkam pagne. On the basis of the urban climate analysis, fresh air and cold air streams, for example, are located in order to be able to protect them more specifically. In addition, the analysis shows which areas of the city are particularly overheated and which local adaptation measures (greening, unsealing, etc.) are necessary.",Awareness-raising and networking action; coordination strategy,Creation of data bases for the climate analysis map and the information map,,"the Office for Urban Planning, Mobility and Integration of the City of Innsbruck",Improving the quality of life and protecting vulnerable groups; maintaining the quality of life despite the already noticeable effects of climate change; despite the increase in heat daysNo significant increase in tropical nights in the city of Innsbruck,Ongoing implementation,Launch of a measurement campaign in 2021,constantly
AT_028,City of Innsbruck: Measures against heat,"Heat poses major challenges for cities in particular. Reasons for this are the compacted buildings, the sealed surfaces and the often low air exchange. Innsbruck already had a total of 25 hit zetage (days above 30 °C) in 2020. This is twice as many hot days as in Salzburg and up to 20 percent more than in Klagenfurt. The modelling also predicts an increase in heat days.","Awareness-raising activities of the population, economic measures","Information for the population, heat warning system, water stations in Innsbruck's establishments",,Urban Climate and Environment Unit of the City of Innsbruck,,,,
AT_029,City of Lienz - 2025 Expansion of PV system,"Lienz has a total of 2,000 hours of sunshine per year and is therefore pre- destined to generate PV and solar energy. By 2025, a first PV system on the roof of Stadtwerke Lienz was reached. Wei Tere to follow.",Expansion of environmentally friendly energy by means of PV and solar,At least 2. PV system on public buildings,"Federal and state subsidies as well as own resources of the municipality, ev. Energy communities",Municipal building office Lienz,"Increasing the number of PV systems, reducing electricity costs",a PV system has already been implemented,,2025
AT_030,City of Lienz - Model house renovation Nordschulzentrum,"In an architectural competition with a total of 10 interested parties, the project of the Upper Carinthian architecture initiative ‘okai’ with Stefan Thalmann prevailed. The refurbishment also includes the redeployment of the premises as well as a new main entrance. Fas saden insulation according to the latest standards and new windows improves the indoor climate","economic measures, energy policy measures",Energy saving,"Federal funds, state funds, own resources Municipality",Building authority Lienz,Reduction of energy and electricity costs,implemented,2023,2025
AT_031,City of Lienz - Participation as a pioneering small town and creation of a Kli maneutrality timetable,"The city of Lienz has been participating in the Pionierkleinstadt programme since 2024/2025 and is preparing a CO2 balance sheet and a Kli maneutralitätsfahrplan as part of it. Existing strategies such as the ISEK, the local foot traffic concept and others are also taken into account. Once completed, projects will be initiated and implemented that support the EU's climate neutrality goal as well as the New European Bauhaus initiative. The aim is to make these European flagship initiatives visible and tangible in the rural region in the heart of Europe.","economic strategy, awareness-raising activities",Implementations in the area of climate neutrality and European Bauhaus,"Federal budget, own resources Municipality","Office of the City of Lienz, Department of Site Development, Department of Economics & Marketing",Lessons learned to achieve the objectives of the climate-neutrality roadmap,in implementation,2023,2023-2025
AT_032,City of Lienz - Pilot sponge city application for trees,"In an Interreg-funded project, a pilot for a sponge city application was implemented in Lienz (Egger Lienz Platz), with the aim of anchoring knowledge in the region and learning from partners (Bruneck and Pieve di Cadore).","economic measures, energy policy measures",Regulation of the sewage system of the city by sponge city principle; cooling of the city center,"EU budget, national budget, Community own resources","Department of Site Development, Economics & Marketing, Department of Forestry and Forestry",Immediate effect,implemented,2024,2024-2025
AT_033,"City of Lienz - Sustainable urban development in Brunico, Lienz and Agordo","In Lienz, existing data sets are standardized and structured. The tool that emerges from this contains other important indicators for sustainable urban development. Further development of the Baumka taster and merging of the raised green spaces.","Training, economic measures",Redesign of the tree cadastre and green space cadastre with additional information for future urban development projects as well as construction projects with regard to climate change and the CO2 balance of the city of Lienz,"Interreg (EU funds), Land funds, Municipality own resources","Department of Site Development, Economics, Marketing, Department of Forestry and Gardens, Stadtwerke Lienz",is only collected,in implementation,2024,2024-2025
AT_034,City of Lienz District heating,"In 2000, the city of Lienz, together with TIWAG-Tiroler Wasserkraft AG and the then Steirische-Fernwärme-GmbH, started the project ‘Heat supply through biomass for the city of Lienz’ as a know-how carrier. Currently, around 80% of households are connected to the district heating network, which corresponds to around 1140 house connections and around 5,300 individual customers.","economic action, environmental action, sustainable energy supply",100% expansion,,"Stadtwärme Lienz, branch TIWAG-Next-Energy/Solutions GmbH",improved air quality; 100% heat supply from biomass,Level of expansion at around 80%,2001,2001 Ongoing
AT_035,Clean heating for everyone,"This funding action is aimed at low-income households in the province of Tyrol, in particular owners of single-family and two-family houses or terraced houses that have their main residence in Tyrol.",Economic support measure,depending on income support up to 75%,2023-2025: €190 million each from federal funds,Office of the Tyrolean Land Government Department of Housing Development,"Switching low-income households to modern, renewable, climate-friendly heating systems",on an ongoing basis (documentation available on the Federal Transparency Portal),2022,2022 to 2027
AT_036,Climate-neutral administration Styria,"Improvement of buildings owned by public bodies, including policies and measures in accordance with Articles 5, 6 and 7 of Directive (EU) 2023/1791",,"Under the project ‘ELENA (European Local Energy Assistance) StyriA’, an investment programme worth EUR 52.9 million is being implemented by the project partners Land Steiermark, LIG and Stadt Graz under the consortium management of the Styrian Energy Agency. This includes comprehensive energy efficiency measures in public buildings, the construction of building-based PV systems and the installation of charging stations for electric vehicles, with the aim of making a significant contribution to reducing greenhouse gas emissions and energy consumption. The objectives of the investment programme are to achieve total annual energy savings of 11 GWh, in particular through thermal renovations and conversion of lighting to LEDs, which corresponds to a reduction of approximately 50% compared to the baseline, and the installation of 13 GWh of renewable energies. This results in a total annual reduction of approximately 4,600 tonnes of CO2 equivalents, representing a reduction of 87% from baseline.",,"Department 2 Central services Department 15 Energy, Housing and Technology Landesimmobiliengesellschaft Steiermark",• Reduction of energy consumption • Improving energy efficiency,constantly,01.04.2023,01/04/2023 to 31/03/26
AT_037,Climate Energy Coaches (KECs),"With its service, the office of the Styrian state government has great potential to implement measures for climate protection and energy saving. With the Climate-Energy-Coaches (KEC for short) we want to use this potential and intensify it in the future. Therefore, a climate-energy coach was nominated for each building of the state administration. With simple, awareness-raising measures, climate protection and energy saving are to be motivated from now on.",Climate and Energy Strategy Styria 2030 plus Link: https://www.technik.steiermark.at/cms/ziel/128523298/en/,Concrete projects in the past have shown that even simple measures can lead to significantly measurable savings in energy consumption and a reduction in energy costs through changes in behaviour.,,"A15 Energy, Housing, Technology - Department of Energy and Housing",Building up competence in the field of climate and energy in the state service. Awareness-raising in the field of climate and energy,constantly,constantly,constantly
AT_038,Climate and Energy Strategy Styria 2030 plus (KESS 2030 plus),"The Climate and Energy Strategy Styria 2030 plus sees itself as a contribution of Styria to the internationally agreed targets in the climate and energy sector. Only if all levels contribute can the ambitious goals be achieved. The strategy forms the basis for an innovative, sustainable, affordable future in the fields of climate protection, climate change adaptation, energy efficiency, renewable energy and energy supply in Styria. Link: https://www.technik.steiermark.at/cms/ziel/128523298/en/",C limate and Energy Strategy Styria 2030 plus The measures set out in th e framework of the KESS 2030 plus are summarised in an action plan for periods of three years. Link: https://www.technik.steiermark.at/cms/ziel/128523298/en/,• TREIBHAUSGASEMISSIONS (Non-emissions trading area) base year 2005) • TOTAL ENERGY CONSUMPTION (base year 2020) • PROPORTION OF RENEWABLE ENERGY (total) • PROPORTION OF RENEWABLE POWER • AIR CONDITIONING,,"State of Styria, Department 15 Energy, Housing and Technology","Achieving Styria's energy and climate targets by 2030, 2040 and beyond • TREIBHAUSGASEMISSIONS -48% by 2030 • TOTAL ENERGY CONSUMPTION -17% by 2030 • Share of RENEWABLE ENERGY 55% by 2030 • Share of RENEWABLE STATE 65% by 2030","The Styria Climate and Energy Strategy has a history that builds on previous climate protection plans and energy strategies. A major milestone was the merging of these parallel concepts into the Climate and Energy Strategy Styria (KESS), which was decided in 2019 to bundle the targets for greenhouse gas reduction, energy efficiency and renewable energies. It was replaced by the new KESS 2030+ strategy, which was presented in 2024 and aims at climate neutrality of the Land administration by 2030. An action plan has been developed to accompany the implementation of the climate and energy strategy. The first action plan 2019-2021 was adopted on 8 August 2019 and concluded at the end of 2021. Following the completion of the second action plan period at the end of 2024, the third three-year action plan 2025-2027, adopted on 3 July 2025, is currently in force. Similar to the strategy document, the 89 measures of the action plan 2025-2027 are divided into seven areas of impact and build on the directions defined therein.",19 September 2024,constantly
AT_039,Climate and Innovation Agency,"The Climate and Innovation Agency of the City of Vienna advises all Viennese and Viennese companies that want to operate renewable energy generation plants on official notification and approval procedures and informs about the most important steps for the construction, commissioning or modification of a plant. It is also the Vienna contact point for all questions relating to energy communities. The Climate and Innovation Agency supports the Wiener Sonnenstrom-Offensive with information, advice and special measures for activating investments in large photovoltaic systems. The services are individual, provider-neutral and free of charge. https://smartcity.wien.gv.at/climate and innovation agency/",technical and promotion law advice,Increasing renewable energy production,,,Increasing renewable energy production,constantly,,constantly
